0:0:0:0:0:0:0:1 - - [19/May/2017:19:09:20 -0300] "GET /Livraria/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=6.0 HTTP/1.1" 200 245797
0:0:0:0:0:0:0:1 - - [19/May/2017:19:09:20 -0300] "GET /Livraria/faces/javax.faces.resource/components.js?ln=primefaces&v=6.0 HTTP/1.1" 200 357791
0:0:0:0:0:0:0:1 - - [19/May/2017:19:09:20 -0300] "GET /Livraria/faces/javax.faces.resource/components.css?ln=primefaces&v=6.0 HTTP/1.1" 200 75425
0:0:0:0:0:0:0:1 - - [19/May/2017:19:09:20 -0300] "GET /Livraria/faces/javax.faces.resource/images/ui-icons_38667f_256x240.png?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2017:19:09:24 -0300] "POST /Livraria/faces/pages/Estados.xhtml HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [19/May/2017:19:09:24 -0300] "GET /Livraria/faces/javax.faces.resource/images/ui-bg_flat_0_2d5972_40x100.png?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2017:19:09:29 -0300] "POST /Livraria/faces/pages/Estados.xhtml HTTP/1.1" 200 510
0:0:0:0:0:0:0:1 - - [19/May/2017:19:09:29 -0300] "GET /Livraria/faces/javax.faces.resource/messages/messages.png?ln=primefaces&v=6.0 HTTP/1.1" 200 27245
0:0:0:0:0:0:0:1 - - [19/May/2017:19:09:29 -0300] "GET /Livraria/faces/javax.faces.resource/images/ui-icons_2e83ff_256x240.png?ln=primefaces-aristo HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [19/May/2017:19:09:38 -0300] "POST /Livraria/faces/pages/Estados.xhtml HTTP/1.1" 200 510
0:0:0:0:0:0:0:1 - - [19/May/2017:19:09:47 -0300] "POST /Livraria/faces/pages/Estados.xhtml HTTP/1.1" 200 510
0:0:0:0:0:0:0:1 - - [19/May/2017:19:09:53 -0300] "POST /Livraria/faces/pages/Estados.xhtml HTTP/1.1" 200 510
